index,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,duration_min,duration_hr,member_age,month,date,day,hour,timeofweek,dayperiod,member_age_group,zip
34568,934,2018-01-22 18:04:35.0190,2018-01-22 18:20:09.619,66.0,3rd St at Townsend St,37.77874161153677,-122.39274082710837,98.0,Valencia St at 16th St,37.765052000000004,-122.42186609999999,178,Subscriber,1995.0,Female,No,15.57,0.26,24,January,22,Monday,18,Weekday,Afternoon,Young Adult,94107
1489514,422,2018-10-17 10:47:05.4140,2018-10-17 10:54:07.577,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.776639200000005,-122.3955263,284.0,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208436062,-122.40087568759917,2912,Subscriber,1992.0,Male,No,7.03,0.12,27,October,17,Wednesday,10,Weekday,Morning,Young Adult,94107
812116,3838,2018-06-01 23:26:12.3700,2018-06-02 00:30:10.625,78.0,Folsom St at 9th St,37.7737172,-122.41164669999999,26.0,1st St at Folsom St,37.787290000000006,-122.39438,3805,Subscriber,1985.0,Male,No,63.97,1.07,34,June,02,Saturday,0,Weekend,Evening,Young Adult,94103
138608,413,2018-02-15 18:50:24.7480,2018-02-15 18:57:18.030,112.0,Harrison St at 17th St,37.7638471,-122.41300359999998,58.0,Market St at 10th St,37.776619000000004,-122.41738500000001,1994,Customer,,,No,6.88,0.11,0,February,15,Thursday,18,Weekday,Afternoon,Children,94110
1091415,889,2018-08-20 15:12:42.5270,2018-08-20 15:27:32.074,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.776639200000005,-122.3955263,2671,Subscriber,1967.0,Male,No,14.82,0.25,52,August,20,Monday,15,Weekday,Afternoon,Adult,94133
237633,299,2018-03-23 09:03:30.1380,2018-03-23 09:08:29.381,36.0,Folsom St at 3rd St,37.78383,-122.39887,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.40844488143921,2781,Subscriber,1993.0,Male,Yes,4.98,0.08,26,March,23,Friday,9,Weekday,Morning,Young Adult,94103
1374266,616,2018-09-05 17:34:56.5630,2018-09-05 17:45:12.804,37.0,2nd St at Folsom St,37.78499972833808,-122.39593561749642,6.0,The Embarcadero at Sansome St,37.80477,-122.40323400000001,2271,Subscriber,1981.0,Male,No,10.27,0.17,38,September,05,Wednesday,17,Weekday,Afternoon,Adult,94107
1190610,484,2018-08-03 18:29:52.8220,2018-08-03 18:37:57.327,77.0,11th St at Natoma St,37.773506899999994,-122.4160402,123.0,Folsom St at 19th St,37.7605936,-122.41481709999998,2952,Subscriber,1993.0,Male,No,8.07,0.13,26,August,03,Friday,18,Weekday,Afternoon,Young Adult,94103
741828,605,2018-06-13 09:17:15.1280,2018-06-13 09:27:20.991,152.0,47th St at San Pablo Ave,37.83563220458518,-122.28105068206787,176.0,MacArthur BART Station,37.82840997305853,-122.26631462574005,408,Customer,1991.0,Female,No,10.08,0.17,28,June,13,Wednesday,9,Weekday,Morning,Young Adult,94608
1280842,201,2018-09-19 19:55:30.8950,2018-09-19 19:58:52.809,8.0,The Embarcadero at Vallejo St,37.799953,-122.398525,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,4212,Subscriber,1990.0,Male,No,3.35,0.06,29,September,19,Wednesday,19,Weekday,Evening,Young Adult,94111
1680465,727,2018-11-09 06:26:32.9280,2018-11-09 06:38:40.217,71.0,Broderick St at Oak St,37.773062700000004,-122.4390777,321.0,5th St at Folsom,37.78014570345598,-122.40307085237872,4452,Subscriber,1968.0,Male,No,12.12,0.2,51,November,09,Friday,6,Weekday,Morning,Adult,94117
601985,1391,2018-05-04 08:50:31.3400,2018-05-04 09:13:43.095,53.0,Grove St at Divisadero,37.775946000000005,-122.4377775,81.0,Berry St at 4th St,37.77588,-122.39317,1460,Subscriber,1986.0,Male,No,23.18,0.39,33,May,04,Friday,9,Weekday,Morning,Young Adult,94117
219815,440,2018-03-27 23:13:48.9810,2018-03-27 23:21:09.928,311.0,Paseo De San Antonio at 2nd St,37.333798,-121.88694299999999,296.0,5th St at Virginia St,37.3259984,-121.87711999999999,1481,Subscriber,1989.0,Male,Yes,7.33,0.12,30,March,27,Tuesday,23,Weekday,Evening,Young Adult,95113
255148,1792,2018-03-18 14:18:26.9310,2018-03-18 14:48:19.849,205.0,Shafter Ave at Cavour St,37.8379469,-122.25724270000002,205.0,Shafter Ave at Cavour St,37.8379469,-122.25724270000002,419,Customer,,,No,29.87,0.5,0,March,18,Sunday,14,Weekend,Afternoon,Children,94618
347883,568,2018-04-24 12:25:53.5320,2018-04-24 12:35:21.897,88.0,11th St at Bryant St,37.770029799999996,-122.41172579999999,120.0,Mission Dolores Park,37.7614205,-122.4264353,20,Subscriber,1981.0,Male,No,9.47,0.16,38,April,24,Tuesday,12,Weekday,Morning,Adult,94103
316605,258,2018-04-30 12:46:19.4400,2018-04-30 12:50:37.769,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,9.0,Broadway at Battery St,37.798572108462565,-122.40086898207666,3903,Subscriber,1968.0,Male,No,4.3,0.07,51,April,30,Monday,12,Weekday,Morning,Adult,94133
916507,972,2018-07-17 13:43:20.1810,2018-07-17 13:59:32.430,55.0,Webster St at Grove St,37.7770527,-122.4295585,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,1166,Customer,1966.0,Female,No,16.2,0.27,53,July,17,Tuesday,13,Weekday,Afternoon,Adult,94102
1790701,597,2018-12-16 10:42:13.3510,2018-12-16 10:52:10.896,98.0,Valencia St at 16th St,37.765052000000004,-122.42186609999999,141.0,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999,1988,Subscriber,1988.0,Male,No,9.95,0.17,31,December,16,Sunday,10,Weekend,Morning,Young Adult,94103
376970,267,2018-04-17 18:46:20.0620,2018-04-17 18:50:47.470,7.0,Frank H Ogawa Plaza,37.8045623549303,-122.27173805236816,183.0,Telegraph Ave at 19th St,37.8087021,-122.26992709999999,2767,Subscriber,1987.0,Male,No,4.45,0.07,32,April,17,Tuesday,18,Weekday,Afternoon,Young Adult,94612
